Hours,R First Decay,R Second Decay,R Third Decay,R Fourth Decay,R Fifth Decay,T First Decay,A First Decay,A Second Decay,A Third Decay,Hour
3.366666667,1.780141081,,,,1.940795048,0.446850324,,,,
3.383333333,1.800141748,,,,1.923095471,0.405465108,,,,
3.4,1.830913407,,,,1.940795048,0.405465108,,,,
3.416666667,1.800141748,,,,1.946765215,0.439832752,,,,
3.433333333,1.810294119,,,,1.928960591,0.461034959,,,,
3.45,1.800141748,,,,1.946765215,0.439832752,,,,
3.466666667,1.76053261,,,,1.958813554,0.439832752,,,,
3.483333333,1.790091412,,,,1.958813554,0.475423697,,,,
3.5,1.810294119,,,,2.027806425,0.475423697,,,,
,,,,,,0.461034959,,,,
,,,,,,0.504837582,,,,
,,,,,,0.519875459,,,,
,,,,,,0.558490295,,,,
,,,,,,0.461034959,,,,
,,,,,,0.475423697,,,,
,,,,,,0.475423697,,,,
,,,,,,0.461034959,,,,
,,,,,,0.490022496,,,,
,,,,,,0.482696456,,,,
,,,,,,0.535142931,,,,
,,,,,,0.527480059,,,,
,,,,,,0.453917491,,,,
,,,,,,0.482696456,,,,
,,,,,,0.512328254,,,,
,,,,,,0.527480059,,,,
,,,,,,0.497402603,,,,
,,,,,,0.453917491,,,,
,,,,,,0.468203449,,,,
,,,,,,0.446850324,,,,
,,,,,,0.461034959,,,,
,,,,,,0.504837582,,,,
,,,,,,0.535142931,,,,
,,,,,,0.453917491,,,,
,,,,,,0.412244795,,,,
,,,,,,0.490022496,,,,
,,,,,,0.527480059,,,,
,,,,,,0.542864978,,,,
,,,,,,0.574363645,,,,
,,,,,,0.527480059,,,,
,,,,,,0.519875459,,,,
,,,,,,0.527480059,,,,
,,,,,,0.582395816,,,,
,,,,,,0.640503447,,,,
,,,,,,0.640503447,,,,
,,,,,,0.657745254,,,,
,,,,,,0.640503447,,,,
,,,,,,0.657745254,,,,
,,,,,,0.640503447,,,,
,,,,,,0.615185639,,,,
,,,,,,0.566395475,,,,
,,,,,,0.558490295,,,,
,,,,,,0.574363645,,,,
,,,,,,0.598656337,,,,
,,,,,,0.582395816,,,,
,,,,,,0.582395816,,,,
,,,,,,0.527480059,,,,
,,,,,,0.504837582,,,,
,,,,,,0.461034959,,,,
,,,,,,0.461034959,,,,
,,,,,,0.527480059,,,,
,,,,,,0.574363645,,,,
,,,,,,0.590493026,,,,
,,,,,,0.574363645,,,,
,,,,,,0.535142931,,,,
,,,,,,0.497402603,,,,
,,,,,,0.490022496,,,,
,,,,,,0.512328254,,,,
,,,,,,0.550647118,,,,
,,,,,,0.598656337,,,,
