,u,shgc,leakage,lpd,people,elecCVRSME,chwCVRSME,heatCVRSME,elecNMBE,chwNMBE,heatNMBE
112,1.443768993,1.473183966,0.453689324,1.586937125,1.640581002,12.24445223,3728.770672,41.11626426,0.055227597,-2513.053402,-0.116943601
113,1.439983636,1.472150907,0.454258407,1.589719183,1.634183801,12.2421249,3723.111918,41.11629692,-0.01477176,-2509.305613,0.025775814
114,1.432204277,1.470420661,0.46832415,1.588915288,1.632102654,12.24304386,3720.090468,41.1178628,0.020209589,-2507.270094,0.120258585
115,1.443558223,1.473014213,0.450036379,1.588955275,1.637063129,12.24262989,3726.00884,41.11573114,0.000233082,-2511.232094,-0.053710307
116,1.440081489,1.473329447,0.456865753,1.585935063,1.629280974,12.24620602,3720.046849,41.11516903,0.105877434,-2507.293246,0.065469105
117,1.440496595,1.471997877,0.454616476,1.589803912,1.637515004,12.24192014,3725.580586,41.11693486,-0.022859112,-2510.93321,-0.021665134
118,1.442512409,1.472731769,0.453917555,1.591360412,1.635492659,12.24076689,3724.766651,41.11680541,-0.070942492,-2510.427679,-0.006291521
119,1.443560492,1.473435469,0.449001111,1.593265785,1.632764467,12.23953271,3723.413402,41.11601298,-0.128009544,-2509.558533,0.009266712
120,1.440255804,1.472196416,0.456537915,1.58839963,1.63602888,12.24325395,3724.508352,41.11638585,0.022386769,-2510.222573,-0.00754975
121,1.442486694,1.471684072,0.450447275,1.58902574,1.641664271,12.24239888,3728.350628,41.1173488,-0.004136622,-2512.747666,-0.075817579
122,1.441924014,1.472051154,0.452160311,1.589336711,1.638860483,12.24225696,3726.580309,41.11706073,-0.010674125,-2511.588894,-0.04247685
123,1.439974899,1.471832458,0.45312624,1.587125472,1.63796786,12.24445223,3725.510717,41.11658371,0.060654122,-2510.863807,-0.026824314
124,1.441878032,1.472506941,0.453719726,1.590301677,1.636111459,12.24156055,3724.95428,41.11676956,-0.038036621,-2510.537856,-0.011565159
125,1.440544902,1.472695388,0.45550725,1.58953516,1.633500427,12.24233574,3723.059945,41.1163447,-0.010633561,-2509.28865,0.021813303
126,1.437705364,1.471604799,0.459819531,1.590148549,1.633872699,12.24181116,3722.484362,41.11739548,-0.02574052,-2508.885647,0.056104377
127,1.442095008,1.472661859,0.452482167,1.589253594,1.636265522,12.24246056,3725.088411,41.11669165,-0.006298557,-2510.6242,-0.017917948
128,1.439472346,1.472174038,0.45564116,1.588382914,1.634885994,12.24332647,3723.586953,41.1162961,0.025183681,-2509.612897,0.011525528
129,1.440444084,1.472753566,0.455154283,1.58831228,1.632430846,12.24353069,3722.157114,41.11607007,0.029173445,-2508.686152,0.035482475
130,1.440483467,1.4721868,0.454750928,1.589431004,1.636243964,12.24229505,3724.727846,41.11670118,-0.009827999,-2510.373268,-0.007497671
131,1.441156976,1.472614893,0.455709361,1.588281737,1.636586114,12.24335043,3725.276697,41.11660933,0.023126439,-2510.742895,-0.025599783
