,Climate,Case,Outage Type,24 hr Ratio,48 hr Ratio,168 hr Ratio,24 Avg ODB,48 Avg ODB,168 Avg ODB,Total 24 hr Radiation,Avg 24 hr Sky Cover,SET Hours
177,15-Mar,Chicago-MDW,Heating,0.070676859,0.149168404,0.29281435,10.66770833,8.234635417,8.043824405,5059.4375,3.057291667,14.58
179,15-Mar,Chicago-MDW,Heating,-0.088032594,-0.027946959,0.061595073,10.66770833,8.234635417,8.043824405,5059.4375,3.057291667,0
181,16-Feb,Chicago-MDW,Heating,0.446631031,0.507717452,0.63993846,-4.290104167,-4.637760417,1.550372024,2595.75,8.640625,1278.73
183,16-Feb,Chicago-MDW,Heating,0.317060397,0.373394848,0.505014328,-4.290104167,-4.637760417,1.550372024,2595.75,8.640625,677.03
185,16-Feb,Chicago-MDW,Heating,0.161145781,0.201758872,0.293342108,-4.290104167,-4.637760417,1.550372024,2595.75,8.640625,318.99
187,16-Feb,Chicago-MDW,Heating,0.249173106,0.298274713,0.412562448,-4.290104167,-4.637760417,1.550372024,2595.75,8.640625,14.58
189,16-Feb,Chicago-MDW,Heating,0.109868279,0.137184657,0.200261142,-4.290104167,-4.637760417,1.550372024,2595.75,8.640625,0
191,16-Jan,Chicago-MDW,Heating,0.416374557,0.474544924,0.618487226,-0.565625,-4.55625,-7.649702381,868.75,9.4375,1278.73
193,16-Jan,Chicago-MDW,Heating,0.299379199,0.344943655,0.48372413,-0.565625,-4.55625,-7.649702381,868.75,9.4375,677.03
195,16-Jan,Chicago-MDW,Heating,0.171320765,0.183085672,0.275180889,-0.565625,-4.55625,-7.649702381,868.75,9.4375,318.99
197,16-Jan,Chicago-MDW,Heating,0.238854756,0.272667663,0.395750744,-0.565625,-4.55625,-7.649702381,868.75,9.4375,14.58
199,16-Jan,Chicago-MDW,Heating,0.118665898,0.124011831,0.188258295,-0.565625,-4.55625,-7.649702381,868.75,9.4375,0
201,16-Mar,Chicago-MDW,Heating,0.361982543,0.448075954,0.561980368,5.8015625,8.316927083,6.952008929,4033.625,6.078125,1278.73
203,16-Mar,Chicago-MDW,Heating,0.232258584,0.302799973,0.412784578,5.8015625,8.316927083,6.952008929,4033.625,6.078125,677.03
205,16-Mar,Chicago-MDW,Heating,0.092105468,0.126731849,0.203068779,5.8015625,8.316927083,6.952008929,4033.625,6.078125,318.99
207,16-Mar,Chicago-MDW,Heating,0.174182055,0.229065205,0.326178546,5.8015625,8.316927083,6.952008929,4033.625,6.078125,14.58
209,16-Mar,Chicago-MDW,Heating,0.013957544,0.028861713,0.095735471,5.8015625,8.316927083,6.952008929,4033.625,6.078125,0
211,17-Feb,Chicago-MDW,Heating,0.418322707,0.487533732,0.627493509,-4.985416667,-0.919270833,3.345386905,2998.5625,5.59375,1278.73
213,17-Feb,Chicago-MDW,Heating,0.296756143,0.356875296,0.493108267,-4.985416667,-0.919270833,3.345386905,2998.5625,5.59375,677.03
215,17-Feb,Chicago-MDW,Heating,0.161490022,0.190344801,0.282977665,-4.985416667,-0.919270833,3.345386905,2998.5625,5.59375,318.99
217,17-Feb,Chicago-MDW,Heating,0.235804908,0.281541756,0.399892718,-4.985416667,-0.919270833,3.345386905,2998.5625,5.59375,14.58
219,17-Feb,Chicago-MDW,Heating,0.1087427,0.122820802,0.18945648,-4.985416667,-0.919270833,3.345386905,2998.5625,5.59375,0
221,17-Jan,Chicago-MDW,Heating,0.422024641,0.492890433,0.627861199,-8.546875,-10.02604167,-8.58735119,6388.875,3.552083333,1278.73
223,17-Jan,Chicago-MDW,Heating,0.290401198,0.354744825,0.492415418,-8.546875,-10.02604167,-8.58735119,6388.875,3.552083333,677.03
225,17-Jan,Chicago-MDW,Heating,0.12933225,0.170700816,0.276926769,-8.546875,-10.02604167,-8.58735119,6388.875,3.552083333,318.99
227,17-Jan,Chicago-MDW,Heating,0.221631602,0.276963228,0.402668466,-8.546875,-10.02604167,-8.58735119,6388.875,3.552083333,14.58
229,17-Jan,Chicago-MDW,Heating,0.083968753,0.110429031,0.189560259,-8.546875,-10.02604167,-8.58735119,6388.875,3.552083333,0
231,17-Mar,Chicago-MDW,Heating,0.382625736,0.422352773,0.559535791,10.83229167,10.30338542,6.640178571,4015.6875,8.640625,1278.73
233,17-Mar,Chicago-MDW,Heating,0.254173652,0.285045319,0.413338045,10.83229167,10.30338542,6.640178571,4015.6875,8.640625,677.03
235,17-Mar,Chicago-MDW,Heating,0.107441708,0.121417184,0.208411957,10.83229167,10.30338542,6.640178571,4015.6875,8.640625,318.99
237,17-Mar,Chicago-MDW,Heating,0.190779225,0.214477563,0.327607415,10.83229167,10.30338542,6.640178571,4015.6875,8.640625,14.58
239,17-Mar,Chicago-MDW,Heating,0.027326213,0.038074987,0.107605134,10.83229167,10.30338542,6.640178571,4015.6875,8.640625,0
241,18-Feb,Chicago-MDW,Heating,0.388859161,0.459187546,0.623274581,3.146875,4.65234375,5.451339286,7771.0625,1.53125,1278.73
243,18-Feb,Chicago-MDW,Heating,0.266233368,0.326243915,0.485737286,3.146875,4.65234375,5.451339286,7771.0625,1.53125,677.03
245,18-Feb,Chicago-MDW,Heating,0.117886936,0.15545313,0.270470882,3.146875,4.65234375,5.451339286,7771.0625,1.53125,318.99
247,18-Feb,Chicago-MDW,Heating,0.197647224,0.246925681,0.389348509,3.146875,4.65234375,5.451339286,7771.0625,1.53125,14.58
249,18-Feb,Chicago-MDW,Heating,0.064751024,0.088075459,0.175842141,3.146875,4.65234375,5.451339286,7771.0625,1.53125,0
251,18-Jan,Chicago-MDW,Heating,0.423954962,0.483155644,0.633923078,-11.50520833,-10.12239583,-8.488020833,6417.25,2.3125,1278.73
253,18-Jan,Chicago-MDW,Heating,0.296981802,0.351943783,0.500405872,-11.50520833,-10.12239583,-8.488020833,6417.25,2.3125,677.03
255,18-Jan,Chicago-MDW,Heating,0.144742428,0.182531947,0.288691273,-11.50520833,-10.12239583,-8.488020833,6417.25,2.3125,318.99
257,18-Jan,Chicago-MDW,Heating,0.231089782,0.278384451,0.411378213,-11.50520833,-10.12239583,-8.488020833,6417.25,2.3125,14.58
259,18-Jan,Chicago-MDW,Heating,0.093095484,0.118838954,0.200580787,-11.50520833,-10.12239583,-8.488020833,6417.25,2.3125,0
261,18-Mar,Chicago-MDW,Heating,0.365043259,0.459372559,0.566562658,9.774479167,9.275260417,6.052306548,1803.8125,7.807291667,1278.73
263,18-Mar,Chicago-MDW,Heating,0.237835038,0.318539614,0.419949569,9.774479167,9.275260417,6.052306548,1803.8125,7.807291667,677.03
265,18-Mar,Chicago-MDW,Heating,0.098096046,0.148058101,0.213900532,9.774479167,9.275260417,6.052306548,1803.8125,7.807291667,318.99
267,18-Mar,Chicago-MDW,Heating,0.179041123,0.246431598,0.333878049,9.774479167,9.275260417,6.052306548,1803.8125,7.807291667,14.58
269,18-Mar,Chicago-MDW,Heating,0.029304623,0.067027518,0.111841379,9.774479167,9.275260417,6.052306548,1803.8125,7.807291667,0
271,19-Feb,Chicago-MDW,Heating,0.397519137,0.485256721,0.619194033,6.1578125,3.616927083,6.110267857,2608.4375,8.010416667,1278.73
273,19-Feb,Chicago-MDW,Heating,0.278269441,0.351920479,0.483373938,6.1578125,3.616927083,6.110267857,2608.4375,8.010416667,677.03
275,19-Feb,Chicago-MDW,Heating,0.142838386,0.1865041,0.273384175,6.1578125,3.616927083,6.110267857,2608.4375,8.010416667,318.99
277,19-Feb,Chicago-MDW,Heating,0.215641919,0.277638073,0.389768977,6.1578125,3.616927083,6.110267857,2608.4375,8.010416667,14.58
